Column 1,Column 2,Quality,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16
Cooking Apples,Bramley’s Seedling,1st,£/kg,0.53,0.52,0.55,0.64,0.68,0.65,0.65,0.60,0.52,0.50,0.53,0.54
,Bramley’s Seedling,2nd,£/kg,0.36,0.38,0.41,0.44,0.42,0.44,0.43,0.38,0.39,0.30,0.34,0.38
,Bramley’s Seedling,Ave,£/kg,0.49,0.48,0.50,0.55,0.55,0.57,0.55,0.53,0.49,0.45,0.48,0.51
Dessert Apples,Cox’s Orange-group,1st,£/kg,0.56,0.50,0.56,0.70,,,,1.04,0.67,0.52,0.55,0.58
,Cox’s Orange-group,2nd,£/kg,0.36,0.36,0.38,0.46,,,,,0.50,0.35,0.37,0.37
,Cox’s Orange-group,Ave,£/kg,0.51,0.46,0.50,0.61,,,,,0.64,0.46,0.49,0.51
,Discovery,1st,£/kg,,,,,,,0.73,0.54,0.44,,,
,Discovery,2nd,£/kg,,,,,,,,0.39,0.33,,,
,Discovery,Ave,£/kg,,,,,,,,0.51,0.39,,,
,Egremont Russet,1st,£/kg,0.60,0.56,0.60,0.55,0.49,,,,0.66,0.59,0.61,0.69
,Egremont Russet,2nd,£/kg,0.39,0.39,0.43,,,,,,0.56,0.48,0.41,0.44
,Egremont Russet,Ave,£/kg,0.52,0.51,0.56,,,,,,0.64,0.57,0.58,0.64
,Spartan,1st,£/kg,,,,,,,,,0.56,0.51,0.47,
,Spartan,2nd,£/kg,,,,,,,,,0.44,0.39,0.33,
,Spartan,Ave,£/kg,,,,,,,,,0.56,0.49,0.46,
,Worcester Pearmain,1st,£/kg,,,,,,,,0.58,0.53,,,
,Worcester Pearmain,2nd,£/kg,,,,,,,,,0.39,,,
,Worcester Pearmain,Ave,£/kg,,,,,,,,,0.51,,,
,Red Pippin,1st,£/kg,,,,,,,,,,0.42,0.48,
,Red Pippin,2nd,£/kg,,,,,,,,,,,,
,Red Pippin,Ave,£/kg,,,,,,,,,,,,
,Gala,1st,£/kg,0.49,0.44,0.45,0.46,,,,,0.66,0.51,0.53,0.51
,Gala,2nd,£/kg,0.32,0.34,,,,,,,0.48,0.34,0.35,0.38
,Gala,Ave,£/kg,0.43,0.43,,,,,,,0.65,0.49,0.50,0.49
,Other Early Season,-,£/kg,,,,,,,,0.48,0.45,,,
,Other Mid Season,-,£/kg,,,,,,,,0.61,0.65,0.44,0.44,0.49
,Other Late Season,-,£/kg,0.46,0.44,0.44,0.49,0.42,,,,,0.49,0.58,0.55
,Jonogold – group,1st,£/kg,0.36,0.43,0.48,0.47,0.53,0.60,,,0.61,0.45,0.44,0.47
,Jonogold – group,2nd,£/kg,0.28,0.38,0.37,,0.33,0.34,,,,,,
,Jonogold – group,Ave,£/kg,0.36,0.43,0.44,,0.50,0.51,,,,,,
2007,,Quality,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Cooking Apples,Bramley’s Seedling,1st,£/kg,0.53,0.55,0.53,0.65,0.65,0.80,0.90,0.69,0.57,0.58,0.60,0.62
,Bramley’s Seedling,2nd,£/kg,0.36,0.38,0.35,0.46,0.49,0.60,0.65,0.52,0.42,0.35,0.35,0.40
,Bramley’s Seedling,Ave,£/kg,0.49,0.50,0.47,0.60,0.61,0.73,0.81,0.64,0.54,0.52,0.53,0.57
Dessert Apples,Cox’s Orange-group,1st,£/kg,0.60,0.70,0.73,0.79,,,,0.94,0.66,0.62,0.64,0.64
,Cox’s Orange-group,2nd,£/kg,0.37,0.42,0.35,0.54,,,,0.77,0.42,0.40,0.39,0.38
,Cox’s Orange-group,Ave,£/kg,0.54,0.65,0.67,0.70,,,,0.93,0.61,0.56,0.58,0.58
,Discovery,1st,£/kg,,,,,,,0.76,0.52,,,,
,Discovery,2nd,£/kg,,,,,,,0.52,0.38,0.30,,,
,Discovery,Ave,£/kg,,,,,,,0.73,0.48,,,,
,Egremont Russet,1st,£/kg,0.61,,,,,,,0.81,0.74,0.75,0.70,0.67
,Egremont Russet,2nd,£/kg,0.39,,,,,,,,0.48,0.33,0.50,0.50
,Egremont Russet,Ave,£/kg,0.60,,,,,,,,0.71,0.74,0.68,0.66
,Spartan,1st,£/kg,,,,,,,,,0.49,0.49,0.54,0.48
,Spartan,2nd,£/kg,,,,,,,,,0.28,0.33,,
,Spartan,Ave,£/kg,,,,,,,,,0.48,0.48,,
,Worcester Pearmain,1st,£/kg,,,,,,,,0.61,0.56,0.48,,
,Worcester Pearmain,2nd,£/kg,,,,,,,,,0.40,0.33,,
,Worcester Pearmain,Ave,£/kg,,,,,,,,,0.53,0.47,,
,Red Pippin,1st,£/kg,,,,,,,,,0.66,0.44,0.71,
,Red Pippin,2nd,£/kg,,,,,,,,,,,,0.39
,Red Pippin,Ave,£/kg,,,,,,,,,,,,
,Gala,1st,£/kg,0.55,0.53,0.67,,,,,,0.61,0.55,0.54,0.50
,Gala,2nd,£/kg,0.40,0.36,0.60,,,,,,,0.40,0.35,0.33
,Gala,Ave,£/kg,0.53,0.51,0.66,,,,,,,0.54,0.50,0.46
,Other Early Season,-,£/kg,,,,,,,0.66,0.60,0.46,0.49,,
,Other Mid Season,-,£/kg,0.51,,,,,,,,0.49,0.54,0.51,0.53
,Other Late Season,-,£/kg,0.53,0.54,0.51,0.47,0.48,,,,,0.59,0.65,0.48
,Jonogold – group,1st,£/kg,,,,,,,,,,0.52,0.50,0.54
,Jonogold – group,2nd,£/kg,,,,,,,,,,0.34,0.34,
,Jonogold – group,Ave,£/kg,,,,,,,,,,0.52,0.47,
(new item this year),Red,2nd,£/kg,0.33,0.29,0.30,0.39,0.40,0.35,,0.36,0.31,0.27,0.26,0.23
,Red,Ave,£/kg,0.39,0.40,0.41,0.46,0.47,0.41,,0.41,0.42,0.37,0.35,0.24
(new item this year),Leaf - Loose/bunches,2nd,£/kg,,,,,0.70,0.60,0.60,,0.43,,,
,Leaf - Loose/bunches,Ave,£/kg,,,,,0.92,0.69,0.65,,0.59,,,
2008,,Quality,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Cooking Apples,Bramley’s Seedling,1st,£/kg,0.72,0.73,0.74,0.88,1.01,1.03,1.03,0.81,0.66,0.61,0.65,0.69
,Bramley’s Seedling,2nd,£/kg,0.51,0.52,0.57,0.63,0.71,0.76,0.70,0.61,0.48,0.43,0.42,0.45
,Bramley’s Seedling,Ave,£/kg,0.68,0.68,0.69,0.80,0.91,0.92,0.93,0.78,0.64,0.58,0.58,0.63
Dessert Apples,Cox’s Orange-group,1st,£/kg,0.70,0.67,0.72,0.87,,,,1.09,0.83,0.65,0.63,0.69
,Cox’s Orange-group,2nd,£/kg,0.45,0.43,0.52,0.50,,,,,0.59,0.42,0.37,0.43
,Cox’s Orange-group,Ave,£/kg,0.65,0.60,0.67,0.74,,,,,0.81,0.60,0.57,0.63
,Discovery,1st,£/kg,,,,,,,1.03,0.68,0.46,,,
,Discovery,2nd,£/kg,,,,,,,,0.43,0.36,,,
,Discovery,Ave,£/kg,,,,,,,,0.64,0.44,,,
,Egremont Russet,1st,£/kg,0.77,0.90,0.80,0.88,,,,,0.96,0.72,0.78,0.82
,Egremont Russet,2nd,£/kg,0.51,,0.44,0.43,,,,,,0.50,0.53,0.53
,Egremont Russet,Ave,£/kg,0.75,,0.77,0.48,,,,,,0.70,0.74,0.75
,Spartan,1st,£/kg,0.39,,,,,,,,,0.61,0.62,0.66
