year,Apple Type,Quality,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,Gala(andclones),1st,£/kg,0.55,0.67,0.71,0.62,0.57,0.56,,,0.77,0.62,0.60,0.64
2010,Jonagold(andclones),1st,£/kg,0.43,0.56,0.61,0.55,0.58,0.42,,,,0.56,0.50,0.49
2011,Bramleys Seedling,1st,£/kg,0.61,0.62,0.64,0.64,0.66,0.68,0.73,0.67,0.61,0.61,0.64,0.63
2011,Cox(andclones),1st,£/kg,0.76,0.93,1.00,1.03,,,,1.09,0.76,0.67,0.66,0.72
2011,Discovery,1st,£/kg,,,,,,,0.89,0.61,,,,
2011,EgremontRusset,1st,£/kg,0.69,0.80,0.81,1.01,,,,,0.76,0.74,0.74,0.69
2011,Spartan,1st,£/kg,0.66,,,,,,,,0.77,0.92,0.53,0.58
2011,WorcesterPearmain,1st,£/kg,,,,,,,,0.69,0.60,,,
2011,Fiesta/RedPippin,1st,£/kg,,,,,,,,,,,,
2011,Gala(andclones),1st,£/kg,0.67,0.85,0.80,0.79,0.72,,,,0.68,0.64,0.62,0.71
2011,Jonagold(andclones),1st,£/kg,0.68,0.56,0.53,,,,,,,0.59,0.60,0.52
2012,Bramleys Seedling,1st,£/kg,0.67,0.66,0.63,0.71,0.74,0.87,1.08,0.94,0.77,0.92,0.97,1.04
2012,Cox(andclones),1st,£/kg,0.75,0.79,0.83,0.91,0.86,,,,0.98,0.90,0.81,0.90
2012,Discovery,1st,£/kg,,,,,,,,0.91,0.67,,,
2012,EgremontRusset,1st,£/kg,0.75,0.88,0.97,,,,,,0.95,0.87,0.85,0.89
2012,Spartan,1st,£/kg,,,,,,,,,,1.06,0.86,
2012,WorcesterPearmain,1st,£/kg,,,,,,,,0.66,0.78,0.65,,
2012,Fiesta/RedPippin,1st,£/kg,,,,,,,,,,0.61,0.69,
2012,Gala(andclones),1st,£/kg,0.69,0.68,0.73,0.81,0.74,,,,0.79,0.83,0.76,0.81
