Column 1,year,Apple Type,Quality,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,2007,Bramley’s Seedling,Ave,£/kg,0.49,0.50,0.47,0.60,0.61,0.73,0.81,0.64,0.54,0.52,0.53,0.57
Dessert Apples,2007,Cox’s Orange-group,1st,£/kg,0.60,0.70,0.73,0.79,,,,0.94,0.66,0.62,0.64,0.64
,2007,Cox’s Orange-group,2nd,£/kg,0.37,0.42,0.35,0.54,,,,0.77,0.42,0.40,0.39,0.38
,2007,Cox’s Orange-group,Ave,£/kg,0.54,0.65,0.67,0.70,,,,0.93,0.61,0.56,0.58,0.58
,2007,Discovery,1st,£/kg,,,,,,,0.76,0.52,,,,
,2007,Discovery,2nd,£/kg,,,,,,,0.52,0.38,0.30,,,
,2007,Discovery,Ave,£/kg,,,,,,,0.73,0.48,,,,
,2007,Egremont Russet,1st,£/kg,0.61,,,,,,,0.81,0.74,0.75,0.70,0.67
,2007,Egremont Russet,2nd,£/kg,0.39,,,,,,,,0.48,0.33,0.50,0.50
,2007,Egremont Russet,Ave,£/kg,0.60,,,,,,,,0.71,0.74,0.68,0.66
,2007,Spartan,1st,£/kg,,,,,,,,,0.49,0.49,0.54,0.48
,2007,Spartan,2nd,£/kg,,,,,,,,,0.28,0.33,,
,2007,Spartan,Ave,£/kg,,,,,,,,,0.48,0.48,,
,2007,Worcester Pearmain,1st,£/kg,,,,,,,,0.61,0.56,0.48,,
,2007,Worcester Pearmain,2nd,£/kg,,,,,,,,,0.40,0.33,,
,2007,Worcester Pearmain,Ave,£/kg,,,,,,,,,0.53,0.47,,
,2007,Red Pippin,1st,£/kg,,,,,,,,,0.66,0.44,0.71,
,2007,Red Pippin,2nd,£/kg,,,,,,,,,,,,0.39
,2007,Red Pippin,Ave,£/kg,,,,,,,,,,,,
,2007,Gala,1st,£/kg,0.55,0.53,0.67,,,,,,0.61,0.55,0.54,0.50
,2007,Gala,2nd,£/kg,0.40,0.36,0.60,,,,,,,0.40,0.35,0.33
,2007,Gala,Ave,£/kg,0.53,0.51,0.66,,,,,,,0.54,0.50,0.46
,2007,Other Early Season,-,£/kg,,,,,,,0.66,0.60,0.46,0.49,,
,2007,Other Mid Season,-,£/kg,0.51,,,,,,,,0.49,0.54,0.51,0.53
,2007,Other Late Season,-,£/kg,0.53,0.54,0.51,0.47,0.48,,,,,0.59,0.65,0.48
,2007,Jonogold – group,1st,£/kg,,,,,,,,,,0.52,0.50,0.54
,2007,Jonogold – group,2nd,£/kg,,,,,,,,,,0.34,0.34,
,2007,Jonogold – group,Ave,£/kg,,,,,,,,,,0.52,0.47,
(new item this year),2007,Red,2nd,£/kg,0.33,0.29,0.30,0.39,0.40,0.35,,0.36,0.31,0.27,0.26,0.23
,2007,Red,Ave,£/kg,0.39,0.40,0.41,0.46,0.47,0.41,,0.41,0.42,0.37,0.35,0.24
Cooking Apples,2008,Bramley’s Seedling,1st,£/kg,0.72,0.73,0.74,0.88,1.01,1.03,1.03,0.81,0.66,0.61,0.65,0.69
,2008,Bramley’s Seedling,2nd,£/kg,0.51,0.52,0.57,0.63,0.71,0.76,0.70,0.61,0.48,0.43,0.42,0.45
,2008,Bramley’s Seedling,Ave,£/kg,0.68,0.68,0.69,0.80,0.91,0.92,0.93,0.78,0.64,0.58,0.58,0.63
Dessert Apples,2008,Cox’s Orange-group,1st,£/kg,0.70,0.67,0.72,0.87,,,,1.09,0.83,0.65,0.63,0.69
,2008,Cox’s Orange-group,2nd,£/kg,0.45,0.43,0.52,0.50,,,,,0.59,0.42,0.37,0.43
,2008,Cox’s Orange-group,Ave,£/kg,0.65,0.60,0.67,0.74,,,,,0.81,0.60,0.57,0.63
,2008,Discovery,1st,£/kg,,,,,,,1.03,0.68,0.46,,,
,2008,Discovery,2nd,£/kg,,,,,,,,0.43,0.36,,,
,2008,Discovery,Ave,£/kg,,,,,,,,0.64,0.44,,,
,2008,Egremont Russet,1st,£/kg,0.77,0.90,0.80,0.88,,,,,0.96,0.72,0.78,0.82
,2008,Egremont Russet,2nd,£/kg,0.51,,0.44,0.43,,,,,,0.50,0.53,0.53
,2008,Egremont Russet,Ave,£/kg,0.75,,0.77,0.48,,,,,,0.70,0.74,0.75
,2008,Spartan,1st,£/kg,0.39,,,,,,,,,0.61,0.62,0.66
,2008,Spartan,2nd,£/kg,,,,,,,,,,0.34,0.37,0.36
